HIGHpdb	SD	HYDRO	MW	PI
1OM3_1	10.5948039020082	-0.516666666666667	711	6.24833333333333
4UIF_1	4.61721071375209	-0.683333333333333	796	6.67
1OCW_1	6.15257711529746	-1.23333333333333	854	4.75166666666667
2RCJ_1	59.2176569370778	-0.516666666666667	768	5.81833333333333
1FN4_1	4.52830192722372	-1.3	748	5.85166666666667
3R06_1	4.20896046985482	-0.516666666666667	768	5.81833333333333
3J42_1	8.36006397827387	-1.35	814	5.68166666666667
4JAM_1	5.09396653340665	0.166666666666667	783	6.66833333333333
1OAX_1	34.6803038980325	-1.4	895	6.08333333333333
2OR9_1	4.00456136942768	-0.4	778	5.83833333333333
4FQC_1	4.0669593002267	-0.9	779	6.04833333333333
1CBV_1	6.31136289276037	0.166666666666667	752	5.78833333333333
3SKJ_1	5.39770527104176	-0.516666666666667	768	5.81833333333333
1AD9_1	4.1802300283982	-1.4	811	5.72
12E8_1	5.700474316835	0.566666666666666	780	5.78166666666667
