PDB	SD	Hydrophobic	Hydrophilic	Amphipathic	Glycines
1WT5_1	2.8354288960935	38.4615384615385	15.3846153846154	30.7692307692308	15.3846153846154
1Y18_1	2.28865440865827	30.7692307692308	30.7692307692308	23.0769230769231	15.3846153846154
3DUR_1	2.71495133560816	30.7692307692308	30.7692307692308	23.0769230769231	15.3846153846154
2RCJ_1	59.2176569370778	53.8461538461538	23.0769230769231	7.69230769230769	15.3846153846154
1N7M_1	2.14302375043603	46.1538461538462	15.3846153846154	23.0769230769231	15.3846153846154
3CFB_1	2.66656968878751	46.1538461538462	30.7692307692308	15.3846153846154	7.69230769230769
3KYK_1	2.51675169006455	46.1538461538462	23.0769230769231	15.3846153846154	15.3846153846154
4FQC_1	4.0669593002267	30.7692307692308	30.7692307692308	23.0769230769231	15.3846153846154
1FN4_1	4.52830192722372	53.8461538461538	23.0769230769231	7.69230769230769	15.3846153846154
4M7J_1	3.44701853622632	38.4615384615385	23.0769230769231	15.3846153846154	23.0769230769231
1AD9_1	4.1802300283982	38.4615384615385	23.0769230769231	23.0769230769231	15.3846153846154
2PCP_1	2.08511576925611	30.7692307692308	23.0769230769231	30.7692307692308	15.3846153846154
4QT5_1	2.5631468233959	23.0769230769231	38.4615384615385	23.0769230769231	15.3846153846154
1OAX_1	34.6803038980325	30.7692307692308	30.7692307692308	23.0769230769231	15.3846153846154
4NKD_1	2.16927678644986	30.7692307692308	30.7692307692308	15.3846153846154	23.0769230769231
1OCW_1	6.15257711529746	30.7692307692308	30.7692307692308	23.0769230769231	15.3846153846154
3J42_1	8.36006397827387	38.4615384615385	46.1538461538462	7.69230769230769	7.69230769230769
4UIF_1	4.61721071375209	46.1538461538462	15.3846153846154	23.0769230769231	15.3846153846154
1UB6_1	2.02446085667271	46.1538461538462	30.7692307692308	15.3846153846154	7.69230769230769
1A4K_1	2.47042603249925	61.5384615384615	15.3846153846154	0	23.0769230769231
4HJG_1	2.52265506067804	30.7692307692308	38.4615384615385	23.0769230769231	7.69230769230769
4C2I_1	2.7739282837998	38.4615384615385	23.0769230769231	15.3846153846154	23.0769230769231
