HIGHpdb	SD	HYDRO	MW	PI
1AD9_1	4.1802300283982	-0.815384615384615	1739	6.13461538461538
1OAX_1	34.6803038980325	-1.08461538461538	1856	6.27
3J42_1	8.36006397827387	-1.03076923076923	1697	5.62461538461539
4FQC_1	4.0669593002267	-0.4	1656	5.96461538461539
4JAM_1	5.09396653340665	0.176923076923077	1656	6.25846153846154
1FN4_1	4.52830192722372	-0.192307692307692	1575	5.89846153846154
12E8_1	5.700474316835	-0.461538461538462	1796	5.96538461538462
1OCW_1	6.15257711529746	-1.00769230769231	1815	5.65538461538462
4UIF_1	4.61721071375209	-0.561538461538462	1648	6.61307692307692
3R06_1	4.20896046985482	-0.215384615384615	1549	5.93
1CBV_1	6.31136289276037	0.0692307692307692	1563	5.89384615384615
2RCJ_1	59.2176569370778	0.0692307692307691	1563	5.89384615384615
2OR9_1	4.00456136942768	-0.6	1633	5.66846153846154
1OM3_1	10.5948039020082	-0.238461538461539	1536	6.1
3SKJ_1	5.39770527104176	-0.238461538461539	1639	5.88769230769231
